customer_id,customer_type,tenure_type,meter_type,region,timestamp,email_body_text,sentiment,emotion_intensity,issue_category,escalation_level,resolution_time,manual_annotation
CUST7145,Commercial,New,Standard,Scotland,2024-06-24 18:19:14,"outage Planned communicated incorrectly, caused inconvenience.",Negative,0.28,Meter,0,111.3,Pending
CUST6768,Domestic,New,Standard,Wales,2023-07-19 10:28:08,setup was straightforward AND hassle-free.,Positive,0.17,Outage,1,10.5,Resolved
CUST5065,Commercial,Long-term,Standard,Wales,2024-04-28 15:51:31,High ELECTRICITY! demand not acknowledged in! billing.,Negative,0.38,Customer Service,0,44.5,Incorrect
CUST2875,Commercial,New,Smart,England,2023-06-21 20:47:39,HIGH High usage alerts are inaccurate. OR... misleading.,Negative,0.23,Technical Fault,0,24.9,Incorrect
CUST2509,Commercial,New,Standard,Scotland,2026-02-23 15:36:09,"Billing charges are unclear, I need an explanation.",Negative,0.24,Safety,0,11.8,Pending
CUST3439,Commercial,Long-term,Smart,Scotland,2024-03-25 15:57:56,How to update my contact INFORMATION For notifications?...,Neutral,0.04,Meter,1,4.6,Pending
CUST1279,Commercial,New,Standard,Scotland,2024-08-07 20:24:09,"Heating system help fails after short usage, technician required.",Negative,0.35,Technical Fault,0,1.9,Incorrect
CUST5134,Domestic,Long-term,Standard,Wales,2025-07-21 19:35:12,Emergency service DID NOT arrive... within expected time.,Negative,0.33,Customer Service,2,24.4,Investigating
CUST9896,Commercial,Long-term,Smart,England,2024-12-16 12:58:11,"Received double BILLING For the same period, need CORRECTION.",Negative,0.13,Technical Fault,1,94.4,Investigating
CUST2998,Commercial,Long-term,Smart,Wales,2024-03-28 04:56:56,Looking for advice on reducing peak-time energy usage.,Neutral,0.12,Tariff,0,12.6,Investigating
CUST5845,Domestic,Long-term,Smart,Scotland,2024-07-04 20:24:14,Billing errors recurring despite... corrections last month.,Negative,0.51,Technical Fault,1,3.5,Incorrect
CUST7049,Domestic,Long-term,Standard,England,2023-07-09 13:01:35,Customer support callback never RECEIVED.,Negative,0.08,Tariff,0,98.7,Pending
CUST7888,Domestic,New,Standard,Wales,2026-01-23 10:37:14,"Received incorrect billing, pls rectify asap.",Negative,0.82,Safety,0,21.6,Investigating
CUST3527,Commercial,Long-term,Standard,Scotland,2024-11-30 18:21:18,"App FAILS to Load outage alerts, misleading information.",Negative,0.11,Outage,0,103.4,Incorrect
CUST6271,Domestic,New,Smart,Scotland,2024-11-29 05:27:31,"INTERESTED, in off-peak electricity usage benefits. thanks",Neutral,0.11,Customer Service,3,24.9,Resolved
CUST5773,Commercial,Long-term,Standard,England,2025-12-27 10:32:54,Automatic METER readings show WRONG consumption.,Negative,0.84,Meter,0,1.4,Pending
CUST3237,Commercial,Long-term,Smart,England,2023-08-30 17:03:54,How to schedule a with Consultation help an energy advisor?,Neutral,0.61,Outage,0,74.2,Incorrect
CUST3089,Domestic,New,Standard,England,2024-06-22 20:02:41,"Electric car charger. not help functioning, appears faulty.",Negative,0.62,Outage,1,110.6,Investigating
