feature,importance_mean,importance_std
region,0.001390790005290643,0.00553172728002571
hour,-0.0015230434002477089,0.005345134408978567
customer_type,-0.002185667359659538,0.006344340550222893
meter_type,-0.00482728237450617,0.006453574351189357
tenure_type,-0.0053818717123517105,0.00438415599341864
day_of_week,-0.013993093910942445,0.004924453348257421
month,-0.014128715372481976,0.005058706581414753
emotion_intensity,-0.02294349652984551,0.013828738896257218
issue_category,-0.024959775073346607,0.013344053561491582
sentiment,-0.03644945813883031,0.008143543604407017
email_body_text_clean,-0.05462788593243817,0.043986607266840734
